txn_id,from_account,from_name,to_account,to_name,amount_inr,timestamp,type,flag
T00001,XXXX2584,Gowtham Pillai,XXXX7643,Dinesh Rao,2500,2026-08-02 13:00,IMPS,
T00002,XXXX2584,Gowtham Pillai,XXXX4271,Devan Menon,4000,2026-08-03 09:00,UPI,
T00003,XXXX2584,Gowtham Pillai,XXXX7643,Dinesh Rao,10000,2026-08-05 11:00,IMPS,
T00004,XXXX2584,Gowtham Pillai,XXXX7643,Dinesh Rao,500,2026-08-06 17:00,UPI,
T00005,XXXX2584,Gowtham Pillai,XXXX4937,Sathish Gupta,2500,2026-08-07 12:00,NEFT,
T00006,XXXX2584,Gowtham Pillai,XXXX4833,Ashok Nair,7500,2026-08-09 16:00,UPI,
T00007,XXXX4150,Gopal Gowda,XXXX9565,Harish Iyer,4000,2026-08-03 17:00,NEFT,
T00008,XXXX4150,Gopal Gowda,XXXX9565,Harish Iyer,1200,2026-08-04 18:00,UPI,
T00009,XXXX4150,Gopal Gowda,XXXX5177,Vijay Verma,7500,2026-08-05 18:00,NEFT,
T00010,XXXX4150,Gopal Gowda,XXXX9565,Harish Iyer,1200,2026-08-06 15:00,UPI,
T00011,XXXX4150,Gopal Gowda,XXXX8385,Kishore Pillai,7500,2026-08-09 17:00,IMPS,
T00012,XXXX4150,Gopal Gowda,XXXX5177,Vijay Verma,4000,2026-08-10 17:00,IMPS,
T00013,XXXX4150,Gopal Gowda,XXXX2680,Hari Achari,500,2026-08-11 12:00,IMPS,
T00014,XXXX4150,Gopal Gowda,XXXX9565,Harish Iyer,500,2026-08-12 18:00,IMPS,
T00015,XXXX4150,Gopal Gowda,XXXX5177,Vijay Verma,1200,2026-08-13 18:00,IMPS,
T00016,XXXX7065,Omkar Iyer,XXXX8905,Eswar Krishnan,2500,2026-08-01 18:00,IMPS,
T00017,XXXX7065,Omkar Iyer,XXXX4271,Devan Menon,7500,2026-08-02 09:00,UPI,
T00018,XXXX7065,Omkar Iyer,XXXX3509,Senthil Nair,2500,2026-08-06 09:00,UPI,
T00019,XXXX7065,Omkar Iyer,XXXX8905,Eswar Krishnan,2500,2026-08-07 10:00,NEFT,
T00020,XXXX7065,Omkar Iyer,XXXX4271,Devan Menon,7500,2026-08-10 17:00,NEFT,
T00021,XXXX6313,Gopal Rao,XXXX1672,Kannan Subramaniam,10000,2026-08-03 17:00,UPI,
T00022,XXXX6313,Gopal Rao,XXXX2412,Vijay Reddy,1200,2026-08-05 15:00,UPI,
T00023,XXXX6313,Gopal Rao,XXXX4531,Naveen Ramaswamy,1200,2026-08-07 15:00,UPI,
T00024,XXXX6313,Gopal Rao,XXXX2412,Vijay Reddy,10000,2026-08-08 10:00,NEFT,
T00025,XXXX6313,Gopal Rao,XXXX2412,Vijay Reddy,500,2026-08-09 19:00,NEFT,
T00026,XXXX6313,Gopal Rao,XXXX1672,Kannan Subramaniam,4000,2026-08-12 10:00,UPI,
T00027,XXXX6313,Gopal Rao,XXXX4531,Naveen Ramaswamy,2500,2026-08-14 15:00,IMPS,
T00028,XXXX9179,Thiru Ramaswamy,XXXX9017,Anand Shetty,7500,2026-08-01 14:00,NEFT,
T00029,XXXX9179,Thiru Ramaswamy,XXXX8702,Lokesh Velu,1200,2026-08-07 17:00,NEFT,
T00030,XXXX9179,Thiru Ramaswamy,XXXX3198,Prakash Achari,7500,2026-08-09 20:00,IMPS,
T00031,XXXX9179,Thiru Ramaswamy,XXXX6313,Gopal Rao,7500,2026-08-10 15:00,NEFT,
