call_id,caller_phone,caller_name,receiver_phone,receiver_name,timestamp,duration_sec,tower_location,flag
C00001,9026542351,Gowtham Pillai,9824493534,Manoj Balakrishnan,2026-08-01 17:29,354,Erode-Hub,
C00002,9026542351,Gowtham Pillai,9156149784,Sabari Murthy,2026-08-02 13:15,419,Chennai-Central,
C00003,9026542351,Gowtham Pillai,9938677496,Harish Bose,2026-08-03 09:02,471,Madurai-East,
C00004,9026542351,Gowtham Pillai,9824493534,Manoj Balakrishnan,2026-08-04 08:11,565,Madurai-East,
C00005,9026542351,Gowtham Pillai,9771753556,Bharath Shetty,2026-08-05 21:56,524,Salem-South,
C00006,9026542351,Gowtham Pillai,9156149784,Sabari Murthy,2026-08-05 14:28,559,Salem-South,
C00007,9026542351,Gowtham Pillai,9352181883,Rajesh Gupta,2026-08-06 15:19,410,Salem-South,
C00008,9026542351,Gowtham Pillai,9771753556,Bharath Shetty,2026-08-06 16:54,164,Salem-South,
C00009,9026542351,Gowtham Pillai,9352181883,Rajesh Gupta,2026-08-06 15:36,529,Coimbatore-North,
C00010,9026542351,Gowtham Pillai,9824493534,Manoj Balakrishnan,2026-08-07 07:34,65,Salem-South,
C00011,9026542351,Gowtham Pillai,9824493534,Manoj Balakrishnan,2026-08-07 10:31,115,Erode-Hub,
C00012,9026542351,Gowtham Pillai,9771753556,Bharath Shetty,2026-08-07 09:59,571,Trichy-West,
C00013,9026542351,Gowtham Pillai,9771753556,Bharath Shetty,2026-08-08 17:27,507,Salem-South,
C00014,9026542351,Gowtham Pillai,9938677496,Harish Bose,2026-08-08 10:12,449,Salem-South,
C00015,9026542351,Gowtham Pillai,9771753556,Bharath Shetty,2026-08-09 07:02,218,Coimbatore-North,
C00016,9026542351,Gowtham Pillai,9771753556,Bharath Shetty,2026-08-09 07:43,310,Madurai-East,
C00017,9026542351,Gowtham Pillai,9352181883,Rajesh Gupta,2026-08-10 10:54,542,Salem-South,
C00018,9026542351,Gowtham Pillai,9938677496,Harish Bose,2026-08-10 13:44,563,Trichy-West,
C00019,9026542351,Gowtham Pillai,9824493534,Manoj Balakrishnan,2026-08-11 12:34,229,Erode-Hub,
C00020,9026542351,Gowtham Pillai,9352181883,Rajesh Gupta,2026-08-11 13:33,241,Salem-South,
C00021,9026542351,Gowtham Pillai,9938677496,Harish Bose,2026-08-12 12:20,342,Coimbatore-North,
C00022,9026542351,Gowtham Pillai,9156149784,Sabari Murthy,2026-08-13 11:56,265,Coimbatore-North,
C00023,9026542351,Gowtham Pillai,9824493534,Manoj Balakrishnan,2026-08-14 10:27,451,Salem-South,
C00024,9026542351,Gowtham Pillai,9771753556,Bharath Shetty,2026-08-14 13:25,38,Chennai-Central,
C00025,9594078161,Gopal Gowda,9921249985,Deepak Gupta,2026-08-01 07:02,584,Salem-South,
C00026,9594078161,Gopal Gowda,9466183982,Elango Kumar,2026-08-01 11:12,208,Chennai-Central,
